"Erro / Regra","Ferramenta","Código CWE","Explicação","Relação (Estática / Dinâmica)"
"heap-use-after-free","ASan + GDB","CWE-416","Acesso (leitura ou escrita) a um bloco do heap depois de ele já ter sido liberado com free() — o ponteiro virou pendente (dangling).","Dinâmica"
"heap-buffer-overflow","ASan + GDB","CWE-122 (leitura: CWE-125 / escrita: CWE-787)","Acesso além dos limites de um bloco alocado no heap; o ASan informa se foi leitura ou escrita e o tamanho do bloco.","Dinâmica"
"stack-buffer-overflow","ASan + GDB","CWE-121","Acesso fora dos limites de um vetor ou variável local (na pilha).","Dinâmica"
"global-buffer-overflow","ASan + GDB","CWE-787","Acesso fora dos limites de uma variável/vetor global (área estática do programa).","Dinâmica"
"stack-use-after-return","ASan + GDB","CWE-562","Uso, via ponteiro, de uma variável local depois que a função que a criou já retornou (memória da pilha reciclada).","Dinâmica"
"stack-use-after-scope","ASan + GDB","CWE-825","Uso de uma variável local depois que o bloco { } em que ela foi declarada terminou.","Dinâmica"
"attempting double-free","ASan + GDB","CWE-415","Chamada de free() duas vezes sobre o mesmo bloco de memória.","Dinâmica"
"attempting free on non-malloc'd address","ASan + GDB","CWE-590","free() sobre um endereço que não veio de malloc/calloc/realloc (ex.: variável local, ou ponteiro no meio de um bloco).","Dinâmica"
"SEGV / Segmentation fault (capturado via GDB)","ASan + GDB","CWE-476","Falha de segmentação; em código de iniciante, quase sempre desreferência de ponteiro NULL. O GDB captura a linha e o estado no instante do crash.","Dinâmica"
"Conditional jump or move depends on uninitialised value(s)","Valgrind (Memcheck) + GDB","CWE-457","Uso de uma variável/valor não inicializado numa decisão (condição de if/laço).","Dinâmica"
"Use of uninitialised value","Valgrind (Memcheck) + GDB","CWE-457","Uso de um valor não inicializado em outro contexto (ex.: como índice, endereço ou argumento de função).","Dinâmica"
"Invalid read of size N","Valgrind (Memcheck) + GDB","CWE-125","Leitura de um endereço inválido (fora de qualquer bloco válido de memória).","Dinâmica"
"Invalid write of size N","Valgrind (Memcheck) + GDB","CWE-787","Escrita em um endereço inválido (fora de qualquer bloco válido de memória).","Dinâmica"
"Invalid read/write em bloco já liberado (... free'd)","Valgrind (Memcheck) + GDB","CWE-416","Acesso a memória do heap já devolvida por free() — é o use-after-free detectado pelo Memcheck (complementa o ASan).","Dinâmica"
"Invalid free() / delete","Valgrind (Memcheck) + GDB","CWE-415 / CWE-590","Liberação inválida: bloco já liberado (double-free) ou endereço que não foi alocado dinamicamente.","Dinâmica"
"Mismatched free() / delete / delete[]","Valgrind (Memcheck) + GDB","CWE-762","Rotina de liberação incompatível com a de alocação (típico de C++: new[] liberado com delete).","Dinâmica"
"... bytes ... are definitely lost","Valgrind (Memcheck)","CWE-401","Bloco alocado e nunca liberado cujo último ponteiro foi perdido — vazamento confirmado. (Detectado pelo Memcheck, pois o LeakSanitizer do ASan fica desligado.)","Dinâmica"
"... bytes ... are indirectly lost","Valgrind (Memcheck)","CWE-401","Bloco vazado apenas porque outro bloco que apontava para ele também foi perdido (ex.: nós internos de uma lista/árvore).","Dinâmica"
"... bytes ... are possibly lost","Valgrind (Memcheck)","CWE-401","Vazamento provável: o único ponteiro conhecido aponta para o meio do bloco, não para o início.","Dinâmica"
"... bytes ... are still reachable","Valgrind (Memcheck)","CWE-401 (normalmente NÃO sinalizado)","Memória ainda alcançável por um ponteiro no fim do programa; o Memcheck lista, mas o pipeline em geral não trata como erro (não é vazamento real).","Dinâmica"
"Erro de compilação (gcc)","Compilador (gcc)","N/A","O código não compila (sintaxe, keyword reservada, etc.). Barrado ANTES de ASan/Valgrind rodarem; não é uma fraqueza de memória.","Pré-execução (Compilação)"
